,MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
0,2.5954000000000006,167.85,0.0,0.0,-2.18
1,2.376500000000001,133.405,0.0,0.0,-2.0
2,2.5938,167.85,1.0,0.0,-1.74
3,2.0289,133.405,1.0,0.0,-1.48
4,2.9189,187.37500000000003,1.0,0.0,-3.04
5,1.81,98.96,0.0,0.0,-1.29
6,1.9352,96.944,0.0,0.0,-1.64
7,1.4054,118.176,4.0,0.0,-0.43
8,4.3002,215.894,0.0,0.6,-4.57
9,2.5654000000000003,132.20599999999996,0.0,0.6,-4.37
10,4.3002,215.894,0.0,0.6,-4.63
11,3.6468000000000007,181.449,0.0,0.6666666666666666,-4.0
12,2.611860000000001,120.195,0.0,0.6666666666666666,-3.2
13,4.7366,393.698,0.0,0.6,-6.98
14,4.3002,215.894,0.0,0.6,-5.56
15,2.9202800000000018,134.22199999999998,0.0,0.6,-4.59
16,3.974100000000001,314.802,0.0,0.6666666666666666,-4.5
17,3.6468000000000007,181.449,0.0,0.6666666666666666,-3.59
18,2.611860000000001,120.195,0.0,0.6666666666666666,-3.31
19,1.0978,110.11199999999998,0.0,0.75,0.62
20,3.2116000000000007,235.906,0.0,0.75,-3.5
21,1.7762,187.862,1.0,0.0,-1.68
22,2.9934000000000003,147.00399999999996,0.0,0.75,-3.05
23,1.464,98.96,1.0,0.0,-1.06
24,1.8525,112.987,1.0,0.0,-1.6
25,2.6495999999999995,170.92000000000002,1.0,0.0,-2.74
26,1.0594,118.176,5.0,0.0,-0.77
27,2.811400000000001,134.22199999999998,2.0,0.6,-3.28
28,1.503,168.10799999999995,2.0,0.5,-3.1
29,0.4051,58.08,0.0,0.0,-0.59
30,3.974100000000001,314.802,0.0,0.6666666666666666,-5.6
31,3.6468000000000007,181.449,0.0,0.6666666666666666,-4.48
32,2.611860000000001,120.19499999999998,0.0,0.6666666666666666,-3.4
33,1.4112,213.105,3.0,0.4,-2.89
34,1.0978,110.11199999999998,0.0,0.75,0.81
35,1.3584,54.09199999999999,1.0,0.0,-1.87
36,3.2116000000000007,235.906,0.0,0.75,-3.54
37,2.993400000000001,147.004,0.0,0.75,-3.04
38,1.8541,112.987,2.0,0.0,-1.62
39,0.4903,132.232,2.0,0.0,-1.46
40,1.9648,114.094,0.0,0.75,-2.0
41,3.456640000000002,156.22799999999998,0.0,0.8333333333333334,-4.29
42,1.503,168.10799999999995,2.0,0.5,-2.29
43,1.0978,110.11199999999998,0.0,0.75,-0.17
44,1.8926,80.12999999999998,0.0,0.0,-2.06
45,3.2116000000000007,235.906,0.0,0.75,-4.07
