,mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year
0,14,8,350,165,4209,12,1972
1,31,4,89,71,1925,14,1980
2,17,8,302,140,3449,11,1971
3,15,8,400,150,3761,10,1971
4,30,4,98,63,2051,17,1978
5,23,8,350,125,3900,17,1980
6,13,8,351,158,4363,13,1974
7,14,8,440,215,4312,9,1971
8,25,5,183,77,3530,20,1980
9,37,4,89,62,2050,17,1982
10,34,4,108,70,2245,17,1983
11,34,4,97,78,2188,16,1981
12,16,8,302,140,4141,14,1975
13,11,8,350,180,3664,11,1974
14,19,6,225,90,3664,19,1981
15,16,8,350,155,4360,15,1980
16,31,4,85,65,2020,19,1980
17,16,8,304,150,3433,12,1971
18,24,4,113,95,2278,16,1973
19,24,4,107,90,2430,15,1971
20,37,4,86,65,2019,16,1981
21,21,4,121,110,2600,13,1978
22,24,6,200,81,3012,18,1977
23,15,8,351,142,4054,14,1980
24,38,4,89,60,1968,19,1981
25,33,4,91,53,1795,17,1977
26,31,4,71,65,1773,19,1972
27,14,8,351,148,4657,14,1976
28,18,6,250,78,3574,21,1977
29,29,4,98,65,2380,21,1982
30,27,4,97,88,2130,15,1971
31,16,6,250,100,3278,18,1974
32,23,4,120,97,2506,15,1973
33,21,6,199,90,2506,15,1971
34,30,4,97,67,1985,16,1978
35,22,6,231,110,3415,16,1982
36,26,4,97,46,1835,21,1971
37,21,3,80,110,2720,14,1978
38,16,8,351,138,3955,13,1980
39,20,6,232,90,3265,18,1980
40,16,6,232,105,3897,19,1976
41,14,8,302,140,4638,16,1975
42,18,6,250,110,3645,16,1977
43,17,6,250,110,3520,16,1978
44,14,8,455,225,3086,10,1971
45,31,4,120,74,2635,18,1982
46,13,8,318,150,3755,14,1977
47,22,4,122,86,2395,16,1973
48,29,4,97,78,1940,15,1978
49,20,6,200,88,3060,17,1982
50,13,8,400,150,4464,12,1974
51,27,4,141,71,3190,25,1980
52,14,8,340,160,3609,8,1971
53,24,4,116,75,2158,16,1974
54,16,8,350,180,4380,12,1977
55,16,8,400,230,4278,10,1974
56,19,6,156,108,2930,16,1977
57,33,4,98,83,2075,16,1978
58,29,4,90,70,1937,14,1977
59,13,8,360,175,3821,11,1974
60,18,6,232,100,2945,16,1974
61,22,4,108,94,2379,17,1974
62,32,6,168,132,2910,11,1981
63,46,4,86,65,2110,18,1981
64,14,8,318,150,4237,15,1974
65,18,6,250,98,3525,19,1978
66,26,4,97,46,1950,21,1974
67,32,4,91,67,1965,16,1983
68,29,4,97,71,1825,12,1977
69,17,8,305,145,3880,13,1978
70,20,6,198,95,3102,17,1975
71,27,4,112,88,2640,19,1983
72,28,4,97,92,2288,17,1973
73,24,4,119,97,2545,17,1976
74,29,4,98,83,2219,17,1975
75,38,6,262,85,3015,17,1983
76,22,6,232,90,3085,18,1977
77,21,4,134,95,2515,15,1979
78,26,4,98,90,2265,16,1974
79,32,4,108,75,2350,17,1982
80,15,8,400,190,4325,12,1978
81,12,8,429,198,4952,12,1974
82,19,8,305,145,3425,13,1979
83,23,4,115,95,2694,15,1976
84,25,4,116,81,2220,17,1977
85,35,4,72,69,1613,18,1972
86,18,6,199,97,2774,16,1971
87,17,6,225,85,3465,17,1982
88,28,4,90,75,2125,15,1975
89,31,4,119,82,2720,19,1983
90,34,4,86,65,1975,15,1980
91,27,4,119,97,2300,15,1979
92,13,8,350,175,4100,13,1974
93,17,6,250,100,3329,16,1972
94,26,4,98,79,2255,18,1977
95,17,6,231,110,3907,21,1976
96,12,8,350,180,4499,13,1974
97,18,6,250,88,3139,15,1972
98,18,8,318,135,3830,15,1980
99,16,6,250,100,3781,17,1975
100,11,8,400,150,4997,14,1974
101,12,8,400,167,4906,13,1974
102,25,4,98,80,2126,17,1973
103,34,4,105,70,2200,13,1980
104,32,4,108,75,2265,15,1981
105,26,4,151,84,2635,16,1982
106,43,4,90,48,2335,24,1981
107,30,4,88,76,2065,15,1972
108,25,4,121,115,2671,14,1976
109,18,8,307,130,3504,12,1971
110,20,4,97,88,2279,19,1974
111,18,4,121,112,2933,15,1973
112,16,8,351,149,4335,15,1978
113,33,4,91,53,1795,18,1976
114,37,4,91,69,2130,15,1980
115,18,6,225,95,3785,19,1976
116,24,4,151,88,2740,16,1978
117,21,6,231,110,3039,15,1976
118,34,4,98,65,2045,16,1982
119,15,8,429,198,4341,10,1971
120,27,4,101,83,2202,15,1977
121,26,4,79,67,1963,16,1975
122,16,8,400,170,4668,12,1976
123,23,4,156,105,2745,17,1979
124,27,4,97,60,1834,19,1972
125,26,4,140,72,2565,14,1977
126,13,8,360,170,4654,13,1974
127,30,4,105,75,2230,15,1979
128,20,4,114,91,2582,14,1974
129,36,4,98,66,1800,14,1979
130,26,4,97,78,2300,15,1975
131,28,4,151,90,2678,17,1981
132,12,8,455,225,4951,11,1974
133,17,8,304,150,3672,12,1973
134,15,8,350,145,4440,14,1976
135,16,8,318,150,4190,13,1977
136,26,4,91,70,1955,21,1972
137,13,8,302,129,3169,12,1976
138,22,4,121,98,2945,15,1976
139,21,4,120,87,2979,20,1973
140,26,6,173,115,2700,13,1980
141,29,4,97,75,2171,16,1976
142,32,4,144,96,2665,14,1983
143,35,4,81,60,1760,16,1982
144,19,8,267,125,3605,15,1980
145,23,4,120,88,2957,17,1976
146,20,6,225,110,3360,17,1980
147,27,4,151,90,2735,18,1983
148,15,8,350,165,3693,12,1971
149,18,8,302,139,3205,11,1979
150,31,4,120,75,2542,18,1981
151,27,4,134,95,2560,14,1979
152,14,8,455,225,4425,10,1971
153,15,6,250,72,3158,20,1976
154,28,4,107,86,2464,16,1977
155,19,6,250,88,3302,16,1972
156,18,3,70,90,2124,14,1974
157,29,4,98,68,2135,17,1979
158,19,6,232,100,2634,13,1972
159,16,6,163,133,3410,16,1979
160,24,4,151,90,3003,20,1981
161,17,8,318,140,4080,14,1979
162,18,6,171,97,2984,15,1976
163,23,6,198,95,2904,16,1974
164,23,4,97,54,2254,24,1973
165,19,8,260,110,3365,16,1979
166,16,6,225,105,3439,16,1972
167,26,4,156,92,2585,15,1983
168,20,6,156,122,2807,14,1974
169,38,4,105,63,2125,15,1983
170,32,4,107,72,2290,17,1981
171,20,5,131,103,2830,16,1979
172,29,4,68,49,2830,20,1974
173,31,4,112,85,2575,16,1983
174,21,4,122,86,2226,17,1973
175,26,4,96,69,2189,18,1973
176,14,8,400,175,4385,12,1973
177,14,8,304,150,3672,12,1974
178,20,8,302,139,3570,13,1979
179,31,4,98,68,2045,19,1978
180,19,6,98,85,2990,18,1980
181,33,4,97,67,2145,18,1981
182,17,8,305,140,4215,13,1977
183,18,8,318,150,3436,11,1971
184,34,4,112,88,2395,18,1983
185,20,6,200,85,3070,17,1979
186,18,6,250,105,3459,16,1976
187,13,8,318,150,3940,13,1977
188,14,8,351,153,4129,13,1973
189,13,8,440,215,4735,11,1974
190,25,4,156,92,2620,14,1982
191,28,4,151,90,2670,16,1980
192,13,8,400,190,4422,13,1973
193,15,8,350,145,4082,13,1974
